summary,components,story_points,priority,issuetype,created_year,created_month,num_comments,project,status,created_date,key,created_dayofweek,num_components,resolution_days,assignee,num_labels
Implement TierManager to translate tiers to task traits,Scheduler,3.0,Major,Task,2015,8,2,Aurora,Resolved,2015-08-17,AURORA-1437,0,1,1.21,Maxim Khutornenko,0
Major Crash Minsat 6.0,,8260877383.0,Minor,Bug,2015,8,1,Aurora,Resolved,2015-08-15,AURORA-1436,5,0,0.06,Dillip Kumar Guru,0
Scheduling loop terminates on the first mismatch,Scheduler,2.0,Blocker,Bug,2015,8,1,Aurora,Resolved,2015-08-13,AURORA-1435,3,1,0.03,Maxim Khutornenko,0
Slave reservation is too restrictive,Scheduler,3.0,Blocker,Bug,2015,8,1,Aurora,Resolved,2015-08-07,AURORA-1431,4,1,0.55,Maxim Khutornenko,0
Set up vagrant environment for sudo-less docker commands,Build,1.0,Major,Story,2015,8,1,Aurora,Resolved,2015-08-05,AURORA-1430,2,1,0.1,Bill Farner,0
Upgrade Mesos to 0.23,,2.0,Minor,Story,2015,8,1,Aurora,Resolved,2015-08-05,AURORA-1429,2,0,12.2,Maxim Khutornenko,0
Move build-support/packaging to aurora-packaging repo,Packaging,2.0,Major,Task,2015,8,3,Aurora,Resolved,2015-08-04,AURORA-1427,1,1,0.06,Bill Farner,0
Speed up iteration speed when developing UI code,UI,5.0,Major,Task,2015,8,3,Aurora,Resolved,2015-08-03,AURORA-1425,0,1,138.91,Joshua Cohen,0
Surface revoked task reason in the UI,UI,3.0,Major,Task,2015,7,1,Aurora,Resolved,2015-07-29,AURORA-1421,2,1,16.17,Maxim Khutornenko,0
FrameworkInfo support for REVOCABLE_RESOURCES capability,Scheduler,2.0,Major,Task,2015,7,1,Aurora,Resolved,2015-07-29,AURORA-1419,2,1,24.07,Maxim Khutornenko,0
Ignore revocable resources in preemptor,Scheduler,2.0,Major,Task,2015,7,5,Aurora,Resolved,2015-07-29,AURORA-1418,2,1,22.27,Maxim Khutornenko,0
Centralize offer/task matching implementation in TaskAssigner,Scheduler,5.0,Major,Task,2015,7,1,Aurora,Resolved,2015-07-29,AURORA-1416,2,1,5.11,Maxim Khutornenko,0
De-generalize resource handling in Scheduler,Scheduler,8.0,Major,Task,2015,7,6,Aurora,Resolved,2015-07-29,AURORA-1415,2,1,16.18,Maxim Khutornenko,0
Schema changes to support revocable jobs,Scheduler,3.0,Major,Task,2015,7,1,Aurora,Resolved,2015-07-29,AURORA-1414,2,1,27.29,Maxim Khutornenko,0
Publish RPM and deb for 0.9.0,Build,5.0,Major,Task,2015,7,11,Aurora,Resolved,2015-07-24,AURORA-1410,4,1,125.07,Bill Farner,0
End-to-end tests fail with 401 unuthorized,Testing,3.0,Blocker,Bug,2015,7,2,Aurora,Resolved,2015-07-23,AURORA-1409,3,1,8.04,Kevin Sweeney,0
IllegalArgumentException in end-to-end tests,"Scheduler,Testing",3.0,Blocker,Bug,2015,7,4,Aurora,Resolved,2015-07-23,AURORA-1407,3,2,0.82,Bill Farner,0
End-to-end test stalls at SSH prompt,Testing,2.0,Critical,Bug,2015,7,1,Aurora,Resolved,2015-07-23,AURORA-1406,3,1,1.68,Bill Farner,0
DB deadlock caused stuck job update,Scheduler,2.0,Major,Bug,2015,7,2,Aurora,Resolved,2015-07-16,AURORA-1401,3,1,0.32,Bill Farner,0
Python style checker should only report errors,Build,2.0,Minor,Story,2015,7,3,Aurora,Resolved,2015-07-13,AURORA-1397,0,1,0.96,Bill Farner,0
RescheduleCalculator precondition fails when using DbTaskStore,Scheduler,5.0,Critical,Bug,2015,7,9,Aurora,Resolved,2015-07-10,AURORA-1395,4,1,33.73,Bill Farner,0
"DbCronJobStore does not go through TaskConfig de-dupe code, breaking uniqueness assumptions elsewhere",Scheduler,5.0,Major,Bug,2015,7,1,Aurora,Resolved,2015-07-09,AURORA-1392,3,1,0.07,Bill Farner,0
Primary key violation when modifying cron jobs with DbCronJobStore,Scheduler,2.0,Major,Bug,2015,7,1,Aurora,Resolved,2015-07-09,AURORA-1390,3,1,0.03,Bill Farner,0
Transaction isolation on DB stores is too strict,Scheduler,2.0,Critical,Bug,2015,7,1,Aurora,Resolved,2015-07-08,AURORA-1386,2,1,0.94,Bill Farner,0
Unique constraint on task_config_metadata.key should be removed,,2.0,Major,Bug,2015,7,1,Aurora,Resolved,2015-07-08,AURORA-1383,2,0,0.14,Bill Farner,0
Upgrade to guice 4.0,Scheduler,3.0,Critical,Story,2015,7,7,Aurora,Resolved,2015-07-02,AURORA-1380,3,1,891.55,Bill Farner,0
Referential integrity violation when replaying storage,Scheduler,2.0,Major,Bug,2015,6,1,Aurora,Resolved,2015-06-30,AURORA-1379,1,1,6.02,Bill Farner,0
"When setting quota, the scheduler should prevent setting below current usage",Scheduler,2.0,Major,Story,2015,6,4,Aurora,Resolved,2015-06-26,AURORA-1375,4,1,5.0,Zameer Manji,0
shutdown_endpoint fields should be in the aurora schema,Executor,2.0,Blocker,Task,2015,6,1,Aurora,Resolved,2015-06-23,AURORA-1368,1,1,7.74,Brian Wickman,0
Improve client error messages for Kerberos errors,"Client,Security,Usability",2.0,Minor,Story,2015,6,1,Aurora,Resolved,2015-06-22,AURORA-1364,0,3,134.26,Maxim Khutornenko,0
Explicit reconciliation must use SLAVE_ASSIGNED_STATES,Scheduler,2.0,Major,Bug,2015,6,1,Aurora,Resolved,2015-06-19,AURORA-1361,4,1,0.02,Maxim Khutornenko,0
MesosPathDetector double-counts checkpoint roots,Observer,2.0,Major,Bug,2015,6,2,Aurora,Resolved,2015-06-17,AURORA-1353,2,1,0.03,Brian Wickman,0
Audit log doesn't capture Shiro subject principal,"Scheduler,Security",3.0,Major,Story,2015,6,5,Aurora,Resolved,2015-06-16,AURORA-1352,1,2,29.0,Kevin Sweeney,0
Make observer POLLING_INTERVAL configurable,Observer,2.0,Major,Task,2015,6,1,Aurora,Resolved,2015-06-16,AURORA-1351,1,1,0.31,Maxim Khutornenko,0
Upgrade requests-kerberos to 0.7.0,"Client,Security",1.0,Major,Task,2015,6,1,Aurora,Resolved,2015-06-09,AURORA-1346,1,2,0.8,Kevin Sweeney,0
Update status page for large jobs is killed by Chrome,UI,5.0,Major,Bug,2015,6,1,Aurora,Resolved,2015-06-09,AURORA-1345,1,1,85.06,Joshua Cohen,0
Create Aurora oversubscription design summary,Documentation,5.0,Major,Task,2015,6,1,Aurora,Resolved,2015-06-09,AURORA-1344,1,1,10.93,Maxim Khutornenko,0
shiro.ini with blank users section fails to parse.,"Scheduler,Security",1.0,Major,Bug,2015,6,1,Aurora,Resolved,2015-06-08,AURORA-1342,0,2,43.29,Kevin Sweeney,0
aurora executor should write checkpoints into sandbox,Executor,5.0,Major,Task,2015,5,1,Aurora,Resolved,2015-05-26,AURORA-1337,1,1,7.0,Maxim Khutornenko,0
Remove GCExecutorLauncher code,Scheduler,3.0,Major,Task,2015,5,2,Aurora,Resolved,2015-05-22,AURORA-1334,4,1,31.99,Maxim Khutornenko,0
Remove GC executor code,Executor,4.0,Major,Task,2015,5,1,Aurora,Resolved,2015-05-22,AURORA-1333,4,1,33.97,Maxim Khutornenko,0
Updater does not skip already updated instances with /INSTANCES option.,Scheduler,2.0,Major,Bug,2015,5,2,Aurora,Resolved,2015-05-22,AURORA-1332,4,1,47.91,Bill Farner,0
It should be possible to link to an instance from the update page,UI,1.0,Minor,Task,2015,5,1,Aurora,Resolved,2015-05-22,AURORA-1331,4,1,95.72,Joshua Cohen,0
MesosSchedulerImpl should check if reason is present when posting status updates,Scheduler,2.0,Major,Task,2015,5,4,Aurora,Resolved,2015-05-20,AURORA-1327,2,1,41.96,Bill Farner,0
`src/test/python/apache/aurora/api_util.py` is not apart of any pants targets,,1.0,Minor,Bug,2015,5,1,Aurora,Resolved,2015-05-18,AURORA-1325,0,0,0.1,Zameer Manji,0
DB task store is enabled by default when staging a recovery,Scheduler,2.0,Major,Bug,2015,5,1,Aurora,Resolved,2015-05-15,AURORA-1322,4,1,12.69,Maxim Khutornenko,0
Create bulk version of the saveJobInstanceUpdateEvent db store method,Scheduler,5.0,Major,Bug,2015,5,4,Aurora,Resolved,2015-05-13,AURORA-1321,2,1,4.89,Maxim Khutornenko,0
Benchmark snapshot restore,Scheduler,3.0,Major,Task,2015,5,1,Aurora,Resolved,2015-05-11,AURORA-1318,0,1,6.97,Kevin Sweeney,0
UpdateStoreBenchmarks broken,"Scheduler,Testing",1.0,Major,Bug,2015,5,1,Aurora,Resolved,2015-05-08,AURORA-1315,4,2,0.04,Bill Farner,0
Upgrade to latest h2 version,Scheduler,1.0,Major,Task,2015,5,1,Aurora,Resolved,2015-05-08,AURORA-1311,4,1,3.78,Bill Farner,0
Remove blanket 'Error executing command: ' prefix from client output,"Client,Usability",1.0,Trivial,Story,2015,5,1,Aurora,Resolved,2015-05-07,AURORA-1310,3,2,0.04,Bill Farner,0
Build can fail if repo directory absolute path is too long,"Build,Usability",2.0,Trivial,Bug,2015,5,1,Aurora,Resolved,2015-05-07,AURORA-1309,3,2,0.02,Bill Farner,0
API hooks no longer supported for certain client commands,Client,3.0,Major,Bug,2015,5,1,Aurora,Resolved,2015-05-06,AURORA-1307,2,1,2.27,Maxim Khutornenko,0
Upgrade to gradle 2.4,"Build,Scheduler",2.0,Major,Story,2015,5,1,Aurora,Resolved,2015-05-05,AURORA-1306,1,2,0.97,Bill Farner,0
MemTaskStore: items are not removed from secondary index,Scheduler,2.0,Minor,Story,2015,5,1,Aurora,Resolved,2015-05-05,AURORA-1305,1,1,0.88,Bill Farner,0
Tests inheriting from AuroraClientCommandTest always pass,"Client,Testing",1.0,Critical,Bug,2015,4,1,Aurora,Resolved,2015-04-30,AURORA-1301,3,2,0.05,Bill Farner,0
UpdateConfigError results in stack trace,Client,2.0,Minor,Story,2015,4,1,Aurora,Resolved,2015-04-30,AURORA-1299,3,1,0.92,Bill Farner,0
Make DbTaskStore suitable for use in production,Scheduler,5.0,Major,Story,2015,4,4,Aurora,Resolved,2015-04-30,AURORA-1298,3,1,56.81,Bill Farner,0
INSTANCES_SPEC_ARGUMENT client option does not validate instance range,Client,2.0,Major,Bug,2015,4,2,Aurora,Resolved,2015-04-29,AURORA-1296,2,1,20.98,Maxim Khutornenko,0
Replace enable_api_security arg with a value for http_authentication_mechanism,"Scheduler,Security",1.0,Major,Story,2015,4,2,Aurora,Resolved,2015-04-23,AURORA-1291,3,2,5.97,Bill Farner,0
"Allow specifying a shorthand for ""well-known"" Module FQCNs",Scheduler,1.0,Major,Story,2015,4,1,Aurora,Resolved,2015-04-23,AURORA-1290,3,1,6.0,Bill Farner,0
Scheduler in-memory DB needs a direct console access,Scheduler,5.0,Major,Task,2015,4,1,Aurora,Resolved,2015-04-20,AURORA-1287,0,1,45.0,Maxim Khutornenko,0
twitter.common.stats.Stats warns about exported metric names,,3.0,Minor,Bug,2015,4,20,Aurora,Resolved,2015-04-17,AURORA-1282,4,0,136.54,Joe Smith,0
Create a design document for Health Checks for Updates,Documentation,5.0,Major,Task,2015,4,2,Aurora,Resolved,2015-04-13,AURORA-1277,0,1,25.23,Maxim Khutornenko,0
Add metrics for scheduler update states,Scheduler,2.0,Major,Task,2015,4,1,Aurora,Resolved,2015-04-07,AURORA-1259,1,1,27.98,Bill Farner,0
Improve procedure for adding instances to a job,"Reliability,Usability",8.0,Major,Story,2015,4,12,Aurora,Resolved,2015-04-07,AURORA-1258,1,2,309.18,Maxim Khutornenko,0
0.10.0 release candidate,,3.0,Major,Task,2015,4,2,Aurora,Resolved,2015-04-07,AURORA-1250,1,0,223.9,Zameer Manji,0
Client retries 4xx errors,Client,3.0,Major,Bug,2015,4,2,Aurora,Resolved,2015-04-06,AURORA-1248,0,1,27.99,Bill Farner,0
Add a way to watch a scheduler-driven update until it's complete,Client,3.0,Major,Task,2015,4,3,Aurora,Resolved,2015-04-02,AURORA-1239,3,1,36.07,Bill Farner,0
Blocked updates missing from cluster-wide in progress view,"Scheduler,UI",2.0,Major,Story,2015,3,1,Aurora,Resolved,2015-03-26,AURORA-1231,3,2,35.08,Bill Farner,0
"Modify scheduler updater to not use ""watch_secs"" for health-check enabled jobs",Scheduler,5.0,Major,Task,2015,3,3,Aurora,Resolved,2015-03-24,AURORA-1223,1,1,533.51,Kai Huang,0
Improve preemptor efficiency,Scheduler,5.0,Major,Task,2015,3,2,Aurora,Resolved,2015-03-23,AURORA-1219,0,1,29.28,Maxim Khutornenko,0
"Reevaluate ""max_schedule_attempts_per_sec"" with asynchronous preemptor",Scheduler,2.0,Major,Task,2015,3,1,Aurora,Resolved,2015-03-20,AURORA-1214,4,1,34.03,Maxim Khutornenko,0
IP clearance and import of twitter commons java code,Scheduler,8.0,Minor,Story,2015,3,9,Aurora,Resolved,2015-03-20,AURORA-1213,4,1,158.13,Zameer Manji,0
Make update status command more versatile,"Client,Usability",2.0,Major,Story,2015,3,1,Aurora,Resolved,2015-03-17,AURORA-1206,1,2,3.19,Bill Farner,0
Update upstart configurations when syncing sources,Testing,2.0,Major,Story,2015,3,1,Aurora,Resolved,2015-03-17,AURORA-1204,1,1,49.76,Bill Farner,0
auth_module is not installed in child injector,"Scheduler,Security",2.0,Blocker,Bug,2015,3,1,Aurora,Resolved,2015-03-16,AURORA-1201,0,2,0.17,Kevin Sweeney,0
Improve UI task status reporting experience,Scheduler,2.0,Minor,Story,2015,3,4,Aurora,Resolved,2015-03-12,AURORA-1193,3,1,155.12,Maxim Khutornenko,0
Add a deprecation warning when the client-side updater is used,Client,2.0,Major,Story,2015,3,1,Aurora,Resolved,2015-03-11,AURORA-1190,2,1,9.08,Bill Farner,0
Create JobKey-scoped Permissions and apply to AuroraSchedulerManager,"Scheduler,Security",5.0,Major,Story,2015,3,3,Aurora,Resolved,2015-03-10,AURORA-1187,1,2,23.89,Kevin Sweeney,0
make-python-sdists failing on master,Thermos,1.0,Major,Bug,2015,3,4,Aurora,Resolved,2015-03-05,AURORA-1174,3,1,12.06,Zameer Manji,0
beta-update list should use a hierarchy for query specifications,Client,3.0,Major,Task,2015,3,1,Aurora,Resolved,2015-03-04,AURORA-1168,2,1,15.98,Bill Farner,0
Rename beta-update to update,Client,2.0,Major,Task,2015,3,3,Aurora,Resolved,2015-03-02,AURORA-1160,0,1,14.12,Bill Farner,0
NearestFix does not account for certain veto types,Scheduler,3.0,Major,Task,2015,3,1,Aurora,Resolved,2015-03-02,AURORA-1159,0,1,7.12,Maxim Khutornenko,0
Consider finding preemption slots asynchronously ,Scheduler,5.0,Major,Task,2015,3,5,Aurora,Resolved,2015-03-02,AURORA-1158,0,1,31.07,Maxim Khutornenko,0
Add end-to-end test coverage for async updates,Testing,3.0,Major,Task,2015,2,1,Aurora,Resolved,2015-02-27,AURORA-1157,4,1,4.99,Bill Farner,0
Preemptor perf improvements,Scheduler,2.0,Major,Task,2015,2,1,Aurora,Resolved,2015-02-26,AURORA-1156,3,1,14.88,Maxim Khutornenko,0
Remove backwards compatibility shims from JobUpdateKey introduction,"Scheduler,Technical Debt",3.0,Major,Task,2015,2,1,Aurora,Resolved,2015-02-24,AURORA-1139,1,2,112.02,Maxim Khutornenko,0
Quota checks are inaccurate for cron schedule updates,Scheduler,3.0,Major,Bug,2015,2,2,Aurora,Resolved,2015-02-19,AURORA-1134,3,1,8.88,Maxim Khutornenko,0
Add the ability to optionally create an unhooked version of the Aurora client api,Client,2.0,Major,Task,2015,2,1,Aurora,Resolved,2015-02-12,AURORA-1120,3,1,0.17,Joshua Cohen,0
The scheduler synchronously writes a backup while writing a snapshot to the replicated log,"Reliability,Scheduler",3.0,Critical,Bug,2015,2,2,Aurora,Resolved,2015-02-06,AURORA-1108,4,2,17.83,Maxim Khutornenko,0
Scheduler updater should suppress instance events on resume,Scheduler,2.0,Minor,Task,2015,2,1,Aurora,Resolved,2015-02-04,AURORA-1097,2,1,37.7,Maxim Khutornenko,0
Scheduler updater should limit the number of job/instance events,Scheduler,5.0,Major,Story,2015,2,7,Aurora,Resolved,2015-02-04,AURORA-1096,2,1,163.65,Joe Smith,0
aurora cron start --open-browser fails with stacktrace,,1.0,Major,Bug,2015,2,1,Aurora,Resolved,2015-02-03,AURORA-1094,1,0,1.21,Zameer Manji,0
Scheduler updates should be uniquely identified by jobKey + updateId,"Client,Scheduler,UI",8.0,Major,Story,2015,2,5,Aurora,Resolved,2015-02-03,AURORA-1093,1,3,24.03,Bill Farner,0
Optimize or remove shard uniqueness check from StorageBackfill,"Scheduler,Technical Debt",2.0,Critical,Task,2015,2,1,Aurora,Resolved,2015-02-02,AURORA-1090,0,2,0.05,Bill Farner,0
Expose blockIfNoPulseAfterMs setting in updateSettings.html,,1.0,Major,Task,2015,2,1,Aurora,Resolved,2015-02-02,AURORA-1088,0,0,10.14,Maxim Khutornenko,0
Allow message to be stored with update write events,Scheduler,3.0,Major,Task,2015,1,7,Aurora,Resolved,2015-01-30,AURORA-1077,4,1,41.8,Bill Farner,0
Docker patch created incompatible ExeuctorInfo changes for GC executor,Scheduler,1.0,Blocker,Bug,2015,1,2,Aurora,Resolved,2015-01-30,AURORA-1076,4,1,0.09,Zameer Manji,0
"Remove the ""enable_legacy_constraints"" flag.",,2.0,Major,Bug,2015,1,2,Aurora,Resolved,2015-01-30,AURORA-1074,4,0,146.94,Zameer Manji,0
Modify UpdateConfig schema to support heartbeats,Client,2.0,Major,Task,2015,1,1,Aurora,Resolved,2015-01-29,AURORA-1071,3,1,13.94,Maxim Khutornenko,0
apache.aurora.executor.common.HealthChecker should export stats,Executor,1.0,Major,Task,2015,1,6,Aurora,Resolved,2015-01-26,AURORA-1062,0,1,29.99,Brian Wickman,0
Remove LiveClusterState,"Scheduler,Technical Debt",1.0,Major,Task,2015,1,1,Aurora,Resolved,2015-01-23,AURORA-1055,4,2,32.95,Bill Farner,0
Implement state reconciliation within the scheduler,Scheduler,8.0,Major,Task,2015,1,10,Aurora,Resolved,2015-01-22,AURORA-1047,3,1,120.05,Maxim Khutornenko,0
Export TASK_LOST source stats from Scheduler,"Scheduler,Technical Debt",5.0,Major,Story,2015,1,1,Aurora,Resolved,2015-01-17,AURORA-1028,5,2,37.21,Bill Farner,0
Update thermos cli to read checkpoint stream from sandbox,Technical Debt,5.0,Major,Story,2015,1,2,Aurora,Resolved,2015-01-17,AURORA-1027,5,1,45.97,Brian Wickman,0
Update observer to read checkpoint stream from sandbox,Technical Debt,5.0,Major,Story,2015,1,4,Aurora,Resolved,2015-01-17,AURORA-1026,5,1,51.07,Brian Wickman,0
Update gc executor to read checkpoint stream from sandbox,Technical Debt,3.0,Major,Story,2015,1,2,Aurora,Resolved,2015-01-17,AURORA-1025,5,1,38.92,Brian Wickman,0
Implement API for dual reading Thermos checkpoints,"Executor,Technical Debt",8.0,Major,Story,2015,1,2,Aurora,Resolved,2015-01-17,AURORA-1024,5,2,20.14,Brian Wickman,0
Releasing the update lock trips off scheduler updater,Scheduler,5.0,Critical,Bug,2015,1,2,Aurora,Resolved,2015-01-17,AURORA-1023,5,1,16.83,Bill Farner,0
Client binding_helper to resolve docker label to a stable ID at create,"Client,Packaging",5.0,Major,Story,2015,1,10,Aurora,Resolved,2015-01-14,AURORA-1014,2,2,676.98,Santhosh Kumar Shanmugham,0
Update documentation to explain the scheduler heartbeat mechanism,"Documentation,Scheduler",1.0,Major,Task,2015,1,1,Aurora,Resolved,2015-01-13,AURORA-1012,1,2,35.08,Maxim Khutornenko,0
Modify updater state machine to support heartbeat-driven pause/resume,Scheduler,5.0,Major,Task,2015,1,1,Aurora,Resolved,2015-01-13,AURORA-1010,1,1,29.02,Maxim Khutornenko,0
Implement pulseJobUpdates RPC,Scheduler,2.0,Major,Task,2015,1,1,Aurora,Resolved,2015-01-13,AURORA-1009,1,1,29.08,Maxim Khutornenko,0
Simplify the Aurora Python build,Executor,13.0,Minor,Epic,2015,1,0,Aurora,Resolved,2015-01-13,AURORA-1005,1,1,348.91,Brian Wickman,0
Support Mesos TASK_ERROR state,Scheduler,2.0,Critical,Story,2015,1,2,Aurora,Resolved,2015-01-12,AURORA-1001,0,1,43.96,Bill Farner,0
Various scheduler performance improvements,Scheduler,40.0,Major,Epic,2015,1,0,Aurora,Resolved,2015-01-12,AURORA-999,0,1,101.03,Bill Farner,0
Scheduling vetos are only displayed for the first task in a TaskGroup,Scheduler,3.0,Major,Story,2014,11,1,Aurora,Resolved,2014-11-03,AURORA-911,0,1,122.31,Maxim Khutornenko,0
Differentiate between dynamic and static vetoes,Scheduler,8.0,Major,Story,2014,10,9,Aurora,Resolved,2014-10-31,AURORA-909,4,1,115.99,Maxim Khutornenko,0
0.7.0 Release Candidate,,3.0,Major,Story,2014,10,2,Aurora,Resolved,2014-10-20,AURORA-872,0,0,115.98,Maxim Khutornenko,0
Create nightly builds,"Build,Continuous Integration",3.0,Major,Story,2014,10,1,Aurora,Resolved,2014-10-16,AURORA-851,3,2,314.97,Bill Farner,0
Add documentation for HTTP basic and kerberos authentication,"Documentation,Security",2.0,Major,Task,2014,10,1,Aurora,Resolved,2014-10-08,AURORA-817,2,2,202.12,Kevin Sweeney,0
Migrate client off of deprecated SessionKey APIs,Security,3.0,Major,Task,2014,10,5,Aurora,Resolved,2014-10-08,AURORA-814,2,1,418.55,Bill Farner,0
Add ability to configure client to use Kerberos,Security,3.0,Major,Task,2014,10,1,Aurora,Resolved,2014-10-08,AURORA-813,2,1,184.86,Maxim Khutornenko,0
Wire in SPNEGO HTTP module,Security,5.0,Major,Task,2014,10,1,Aurora,Resolved,2014-10-08,AURORA-812,2,1,183.6,Kevin Sweeney,0
"Add ShiroAopModule, shiro AOP @RequiresPermissions annotations",Security,3.0,Major,Task,2014,10,2,Aurora,Resolved,2014-10-08,AURORA-811,2,1,170.84,Kevin Sweeney,0
Add an end-to-end test case for http basic auth,Security,1.0,Major,Task,2014,10,1,Aurora,Resolved,2014-10-08,AURORA-810,2,1,184.76,Kevin Sweeney,0
Use Apache Shiro for HTTP authentication,Security,5.0,Major,Task,2014,10,2,Aurora,Resolved,2014-10-08,AURORA-809,2,1,157.82,Kevin Sweeney,0
Refactor the scheduler to allow authenticated subject-per-request,Security,2.0,Major,Task,2014,10,3,Aurora,Resolved,2014-10-08,AURORA-808,2,1,142.64,Kevin Sweeney,0
Remove redundant page header text,"Scheduler,UI",2.0,Major,Story,2014,10,8,Aurora,Resolved,2014-10-02,AURORA-783,3,2,344.04,Joshua Cohen,0
Create design document for security code refactor,"Scheduler,Security",2.0,Major,Task,2014,9,1,Aurora,Resolved,2014-09-17,AURORA-723,2,2,167.3,Kevin Sweeney,0
Reconsider default for -require_slave_checkpoint,"Scheduler,Technical Debt",1.0,Critical,Story,2014,9,4,Aurora,Resolved,2014-09-16,AURORA-716,1,2,225.2,Bill Farner,0
aurora executor _shutdown deadline calls should be daemonized,Executor,1.0,Major,Bug,2014,9,1,Aurora,Resolved,2014-09-10,AURORA-698,2,1,284.97,Brian Wickman,0
No way to link directly to Completed Tasks,UI,2.0,Major,Story,2014,9,2,Aurora,Resolved,2014-09-10,AURORA-696,2,1,357.98,Joshua Cohen,0
Don't store serialized thrift objects in the database,Scheduler,3.0,Major,Story,2014,8,3,Aurora,Resolved,2014-08-12,AURORA-647,1,1,394.92,Bill Farner,0
Preemptor should export more detailed statistics,"Scheduler,SLA",3.0,Major,Story,2014,6,1,Aurora,Resolved,2014-06-11,AURORA-524,2,2,260.92,Bill Farner,0
H2-backed implementation of JobStore,Scheduler,3.0,Major,Task,2014,5,1,Aurora,Resolved,2014-05-12,AURORA-415,0,1,414.94,Bill Farner,0
aurora update should fail gracefully if job is not a service,Client,2.0,Critical,Bug,2014,4,2,Aurora,Resolved,2014-04-18,AURORA-330,4,1,291.15,Bill Farner,0
Use JDK8 features in scheduler development,Scheduler,2.0,Minor,Story,2014,3,2,Aurora,Resolved,2014-03-18,AURORA-274,1,1,420.24,Bill Farner,0
"remove legacy remnants of ""aurora"" executor","Technical Debt,Thermos",1.0,Minor,Task,2014,2,1,Aurora,Resolved,2014-02-06,AURORA-195,3,2,447.08,Bill Farner,1
Provide a web UI page to show history for a specific job instance,"Scheduler,UI",5.0,Minor,Task,2014,1,1,Aurora,Resolved,2014-01-23,AURORA-97,3,2,579.61,Joshua Cohen,0
